StudNo,StudentName,Birthday,Degree,Major,UnitsEarned
2017-69119,Levin Smooth,17 09 1993,Nursing,Engineering,56
2009-22882,Darsie Harpur,1 08 1992,Computer Science,Music,39
2007-74254,Skippy Ethersey,19 03 1994,Psychology,Sociology,86
2004-35356,Rebekkah Tander,1 05 1995,History,Sociology,107
2002-70417,Raina Whitechurch,9 07 2001,Environmental Science,Engineering,71
2002-41894,Marika Seamer,20 07 1983,Anthropology,Art History,89
2013-91368,Alyda Goodbur,8 07 1993,Psychology,Music,45
2004-68293,Judie Andrejevic,13 05 1986,Communications,Biology,152
2009-46382,Culver McNerlin,27 09 1983,Nursing,Psychology,85
2015-58782,Bond Donaway,15 04 1998,Communications,Mathematics,122
2000-72290,Courtney Ludovici,14 01 2000,Political Science,Psychology,62
2020-88593,Ches Fothergill,6 10 2001,Art History,Engineering,107
2015-58763,Corbin Weinham,24 10 1994,Music,Psychology,63
2012-91129,Annelise Dillicate,2 01 1996,Computer Science,Political Science,189
2017-19115,Kiri Plane,14 12 1995,Marketing,Mathematics,185
2007-57255,Terrye Coal,24 05 1999,English Literature,Computer Science,106
2000-27250,Donnell Leaton,17 05 1997,Computer Science,Art History,128
2008-79296,Averil Rossbrooke,21 12 2003,Environmental Science,Political Science,72
2010-82990,Trever Cossom,6 09 1982,Biology,Computer Science,142
2017-14228,Jennifer Annwyl,12 08 1996,English Literature,Mathematics,7
2002-29012,Kamillah Douche,5 05 2000,Graphic Design,Biology,10
2020-48237,Lillis Joscelin,24 06 1984,Engineering,Political Science,78
2018-16150,Willyt Bourhill,13 01 2003,Psychology,Computer Science,193
2005-37107,Dina Liquorish,8 09 1982,Environmental Science,Art History,139
2001-55889,Val Bennitt,27 01 2005,Computer Science,Sociology,26
2023-47752,Mella Wolfenden,16 01 1985,Education,Biology,100
2006-59984,Leonerd Jacobi,27 07 1994,Communications,Psychology,46
2019-84851,Blake Ligertwood,11 02 1988,Mathematics,Business,8
2004-61646,Amory Manwaring,4 10 1984,Sociology,Engineering,74
2008-44195,Bronnie Waldie,23 12 1983,Business Administration,Mathematics,100
2014-99800,Becca Scoyles,12 03 1982,English Literature,Art History,63
2018-34376,Ealasaid Dimock,6 02 2005,Mathematics,Engineering,51
2014-71907,Dorothy Kirkbride,17 12 2003,Business Administration,Engineering,151
2005-88665,Chiquita Hrus,9 11 2004,Criminal Justice,Music,72
2012-19467,Celestyna Wedge,14 11 2000,Computer Science,Political Science,58
2024-20640,Stephenie Segrave,18 11 1996,Education,Engineering,52
2010-41157,Corrianne Pigram,23 08 1987,Marketing,Political Science,128
2005-78630,Florencia Tuohy,17 08 2004,Music,Music,26
2020-47133,Edmund Melrose,15 08 1983,Computer Science,Business,188
2020-56917,Viole Wilbraham,16 06 2003,Computer Science,Biology,82
2021-98665,Lammond De Mattia,11 10 2000,Nursing,Mathematics,119
2015-89906,Waite Papworth,4 09 1997,Criminal Justice,Political Science,44
2005-65431,Cathy Nunson,29 05 1999,Art History,Psychology,139
2000-15612,Jarvis Nears,24 03 1987,Mathematics,Music,147
2021-98472,Alano Noirel,17 08 1988,Communications,Art History,27
2013-53736,Sammie MacCaull,6 04 2006,Nursing,Music,172
2022-88467,Gayler Duxfield,18 03 2003,Biology,Sociology,166
2023-97783,Kaylil Josefsson,5 05 1998,Graphic Design,Engineering,126
2022-39811,Petra De Maria,26 05 1992,Biology,Art History,193
2013-49084,Archambault Comer,29 02 1984,Music,Computer Science,134
2015-50900,Eleanor Marchetti,9 04 2001,Psychology,Mathematics,99
2024-28105,Garwood Reddie,18 02 2003,Biology,Music,36
2021-86630,Laraine Pampling,14 05 1984,Sociology,Sociology,65
2024-32636,Magdaia O' Meara,27 10 1993,Graphic Design,Engineering,48
2004-65994,Ignatius Barlas,7 10 2006,Sociology,Psychology,190
2023-13238,Gerald Henrych,28 03 1994,Biology,Political Science,9
2009-15149,Frederica Toler,22 03 1990,Graphic Design,Mathematics,126
2011-37083,Oby Conradie,30 04 2005,Criminal Justice,Engineering,84
2011-11617,Tera Little,10 05 1997,History,Sociology,174
2003-52741,Brigitte Tootal,23 11 2003,Sociology,Psychology,154
2004-88742,Vance Cholonin,12 02 1985,Computer Science,Sociology,18
2001-82858,Roderick Fotheringham,30 03 1987,Nursing,Sociology,147
2009-96050,Tommie Hedditeh,16 07 2001,Graphic Design,Biology,26
2015-94999,Cindie Gommowe,25 03 1995,Music,Computer Science,193
2009-72459,Ardelia Dunklee,14 06 1984,Environmental Science,Business,37
2010-93218,Philippa Verma,18 03 2001,Anthropology,Biology,65
2024-64830,Maura Geldart,11 01 1992,Communications,Political Science,9
2017-92013,Ninette Fernant,7 06 1992,Marketing,Engineering,64
2011-30923,Jaclyn Blakely,9 09 1986,Marketing,Biology,109
2021-25906,Alexandre Golbourn,22 11 1985,Psychology,Sociology,112
2002-72768,Kathryn Tysall,20 05 1984,History,Sociology,126
2004-13269,Timmi Trudgian,13 04 1998,Criminal Justice,Computer Science,27
2001-85934,Pamela Kemwall,26 03 2006,Environmental Science,Sociology,17
2013-75976,Bradan Conboy,23 03 1994,Computer Science,Engineering,155
2024-17410,Syman Sambrook,9 10 1989,Nursing,Business,5
2018-76152,Durante Dadds,15 02 1984,Biology,Psychology,121
2009-53655,Timothea Braksper,20 12 1982,Communications,Biology,94
2022-50442,Tommy Axelbey,27 01 1989,Computer Science,Political Science,197
2004-62841,Rene Jollands,1 02 1998,Anthropology,Computer Science,80
2018-17745,Aline Fullicks,31 05 1990,Sociology,Biology,68
2010-77112,Clyve Gorghetto,22 03 2000,Criminal Justice,Art History,150
2024-32385,Beatriz Archambault,8 04 2000,Business Administration,Mathematics,36
2012-54452,Bartolemo Sier,5 08 1997,Music,Computer Science,166
2023-30508,Mireille Sherwell,21 06 2001,Computer Science,Business,100
2024-52789,Randie Rosentholer,22 07 1990,Sociology,Mathematics,156
2017-38752,Ansel Hordell,13 03 1999,Computer Science,Psychology,99
2019-67200,Vonni Menichino,24 06 2001,History,Mathematics,115
2003-71885,Lucie Arnaudot,2 05 2000,Marketing,Art History,125
2011-52886,Romy Philp,20 06 2004,Computer Science,Mathematics,113
2008-39792,Fanni Vidineev,2 10 2002,English Literature,Art History,10
2009-36477,Homer Andre,28 06 1982,History,Computer Science,36
2019-45670,Naomi Almond,2 03 1989,Graphic Design,Mathematics,139
2017-28877,Cynthia Sudell,29 06 1988,Sociology,Biology,47
2024-95177,Gradey Shepeard,26 02 1987,Business Administration,Psychology,112
2021-79643,Cherianne Krol,11 05 1991,Sociology,Music,69
2024-24383,Graham Gainor,5 11 1994,Anthropology,Sociology,124
2023-33235,Paul Coleborn,4 10 1983,Business Administration,Political Science,147
2012-68069,Cos Sopp,15 04 1988,Art History,Biology,123
2011-19070,Melicent Basire,7 12 1998,Music,Art History,82
2024-43132,Dido Shillom,11 05 1985,Art History,Political Science,25
2018-34087,Tadd Mortel,28 08 1986,Business Administration,Engineering,7
2007-26839,Trisha Mauro,3 09 2001,Sociology,Biology,22
2016-57700,Anstice Attwill,5 11 1982,Business Administration,Music,34
2020-58030,Aidan Chiddy,10 04 2005,Political Science,Business,106
2011-75058,Dulcie Antonacci,10 06 1992,Graphic Design,Engineering,127
2013-87563,Timmie Pandie,24 09 1996,Art History,Engineering,94
2013-23648,Thaine Alfonzo,23 09 1995,Psychology,Computer Science,35
2018-28167,Bamby Beekmann,30 05 1999,Engineering,Art History,131
2021-87051,Vinnie McGray,16 11 2001,Art History,Sociology,81
2008-63973,Dorelle Anthon,13 05 1990,Sociology,Business,152
2001-42885,Alec Spitaro,3 09 2000,History,Psychology,70
2005-92052,Glynn Ledes,12 06 1984,Environmental Science,Mathematics,136
2017-27324,Clementina Points,11 04 2002,Music,Political Science,137
2015-22805,Ruy Gianetti,18 12 1982,Computer Science,Art History,114
2006-29325,Mariya Keizman,17 04 2006,Criminal Justice,Music,200
2018-87366,Devin Yoskowitz,25 10 1988,Biology,Computer Science,42
2017-72805,Ardelle Glazer,18 04 2002,Nursing,Sociology,95
2022-71979,Rozina Pill,26 04 2002,Education,Computer Science,153
2013-16294,Dominik Grinishin,12 04 2003,Marketing,Mathematics,159
2008-12538,Lemuel Frankcombe,28 04 1991,Engineering,Music,89
2002-93140,Juliann Ofen,15 08 2005,Mathematics,Political Science,2
2009-94899,Haley Garvie,12 03 1982,Engineering,Mathematics,160
2006-77101,Kennedy Cheale,20 01 1988,Environmental Science,Engineering,169
2010-87956,Annabel Panketh,29 01 1998,English Literature,Biology,129
2005-99741,Hadley Hambly,3 01 1985,Biology,Computer Science,175
2020-55247,Axe Jaouen,28 08 1983,Music,Engineering,50
2021-97996,Phyllys Lazarus,18 10 2000,Computer Science,Computer Science,153
2013-48244,Sibelle Christie,14 08 1993,Art History,Business,154
2015-35090,Jasmin Lidgard,3 06 1991,History,Engineering,53
2022-55520,Livy Ninnotti,13 10 1984,Business Administration,Business,23
2022-52041,Cris Callum,1 02 1998,Political Science,Music,76
2014-20830,Laird Wakley,16 04 2005,Graphic Design,Sociology,139
2024-39633,Farly Imlin,10 09 1988,Music,Engineering,116
2017-85110,Nettle Lucks,29 08 1990,Psychology,Computer Science,50
2008-19723,Cymbre Ommundsen,12 04 1989,Engineering,Business,63
2011-24639,Paddie Salling,19 08 1995,Education,Computer Science,142
2013-56253,Luciano Brettell,2 10 2004,Nursing,Biology,84
2000-83920,Annora Eddies,8 04 1993,Political Science,Biology,68
2013-29762,Hube Barnwall,17 03 1985,Criminal Justice,Business,48
2006-35498,Gerri Wisham,15 09 2005,Mathematics,Psychology,122
2017-37617,Corenda Shropshire,20 04 1991,Anthropology,Mathematics,137
2020-67340,Poppy Tschierse,10 09 1994,English Literature,Mathematics,8
2020-10502,Syman Twiddell,2 04 1993,Psychology,Biology,172
2012-72327,Jerri Darrington,20 03 1986,History,Computer Science,43
2015-68501,Sibylle Mathan,18 12 1983,Mathematics,Psychology,134
2020-31052,Clayborne Kiely,10 04 1998,Music,Biology,48
2013-93141,Briant Mc Menamin,1 01 1990,Mathematics,Mathematics,195
2002-70275,Athena Vigar,14 12 2002,History,Psychology,92
2019-46944,Masha Element,12 07 1992,Environmental Science,Biology,100
2008-23256,Aloisia Screase,18 12 2002,Criminal Justice,Music,48
2020-24890,Allie Storrar,25 06 1985,English Literature,Psychology,198
2020-12097,Noami Borrow,13 04 1997,Computer Science,Computer Science,60
2010-80057,Biddy Caulwell,24 03 2003,Criminal Justice,Business,71
2004-85253,Tabbie Clayal,18 01 1992,Art History,Psychology,167
2008-45279,Trudi Durden,23 02 1985,Computer Science,Music,165
2017-47700,Leta Kynoch,13 10 1986,Psychology,Political Science,160
2016-59193,Forester Rebeiro,11 07 1983,Music,Business,28
2000-77867,Alissa Gounard,2 11 1987,Music,Mathematics,119
2002-12060,Shepard Chapelhow,15 08 1986,Anthropology,Business,1
2015-11333,Georges Garrould,14 11 2006,History,Biology,149
2007-57893,Elizabeth Figura,13 07 2002,Criminal Justice,Music,105
2019-86480,Archibold Leftridge,14 12 2000,Anthropology,Art History,200
2004-90180,Auberon De Paepe,10 06 1992,Political Science,Computer Science,112
2009-88778,Carma Clissold,28 01 1994,English Literature,Music,71
2015-34772,Sawyer Keerl,7 09 2006,Political Science,Art History,141
2020-15919,Lynnell Verrill,1 03 1990,Business Administration,Engineering,135
2002-95006,Cindelyn Jaine,31 05 1996,Business Administration,Business,68
2013-34787,Kurt Aslet,1 09 2006,Criminal Justice,Biology,198
2023-28199,Kristen Dymock,15 03 2004,Criminal Justice,Computer Science,100
2014-38050,Fraze Elliston,20 07 1986,Biology,Sociology,139
2001-56619,Granger Danneil,9 07 1985,Graphic Design,Art History,16
2001-19037,Maure Fermin,26 03 1996,Communications,Political Science,136
2001-62806,Shannen Pendlington,27 03 1983,Graphic Design,Political Science,123
2005-26135,Marcos Moquin,4 01 1982,Biology,Psychology,53
2018-69367,Alphard Pirazzi,27 10 1984,Sociology,Psychology,77
2020-31721,Bekki Wade,26 02 1990,Music,Computer Science,97
2022-98714,Dawn Linke,5 10 1982,Art History,Psychology,67
2005-28837,Franchot Bollini,21 02 2003,Graphic Design,Mathematics,107
2004-78667,Kathie Heamus,25 08 1992,History,Business,14
2024-40060,Caleb Fraanchyonok,16 12 1999,Computer Science,Political Science,123
2011-91154,Katalin holmes,3 04 1999,Political Science,Psychology,137
2018-26243,Mufinella Ogglebie,23 04 2000,Sociology,Political Science,59
2011-71911,Retha Vanyard,24 09 1989,Anthropology,Psychology,183
2009-19774,Christie Immings,30 01 1994,Communications,Biology,132
2008-13555,Dylan Hars,11 03 1985,Biology,Engineering,64
2010-76320,Aubrie Sparshutt,23 06 1990,History,Music,85
2006-60247,Annamaria Kamena,20 08 1985,Sociology,Engineering,197
2024-45634,Francyne Thornton-Dewhirst,14 02 2004,Sociology,Computer Science,21
2002-96680,Mike MacGilpatrick,13 06 1998,History,Psychology,24
2005-80493,Clementia Brindle,12 07 1993,Psychology,Engineering,189
2018-11820,Felike Francombe,1 09 1986,Business Administration,Art History,95
2003-41550,Isabelita McKinnon,14 06 1990,Art History,Mathematics,20
2007-52812,Bailey Creffield,20 11 1995,Engineering,Sociology,155
2004-73418,Silvano Lisle,21 06 1990,Nursing,Engineering,137
2015-10620,Jeremie Bonham,14 08 1989,Anthropology,Engineering,76
2013-97382,Crawford Durham,29 08 1995,Computer Science,Mathematics,13
2007-94533,Kattie Messitt,3 08 1992,English Literature,Biology,167
2007-27636,Shaina Elderton,20 05 1982,Engineering,Psychology,48
2004-65522,Antony Jeanet,19 01 1982,Marketing,Political Science,188
2004-67815,Tabatha Tiddy,7 06 1986,Music,Business,120
2002-79123,Berthe Geroldo,8 12 2004,Environmental Science,Biology,63
2009-48857,Hendrika Lamburne,6 12 1995,Nursing,Business,110
2014-54727,Aurthur Stolze,4 06 2006,Marketing,Business,3
2017-13618,Tristam Malek,2 06 2002,Marketing,Mathematics,97
2014-48691,Hadrian Kingsland,23 09 2001,Marketing,Computer Science,150
2014-63366,Sven Gozney,22 06 1983,Nursing,Engineering,144
2005-86448,Christal Milne,4 03 2003,History,Biology,29
2018-82940,Margarita Mancktelow,25 07 2003,Graphic Design,Engineering,174
2010-84142,Nanni O'Noulane,4 04 1986,Marketing,Political Science,5
2019-88300,Tedda Sailer,11 01 1991,Criminal Justice,Mathematics,119
2015-47850,Noach Matej,8 09 1997,Nursing,Computer Science,100
2000-32950,Dore Whiten,19 11 2005,Anthropology,Art History,101
2010-40884,Casey Lawful,15 06 1999,Business Administration,Business,91
2024-21669,Veronika Iacomo,11 01 1995,English Literature,Art History,112
2001-14867,Elliot Byway,7 09 1999,Art History,Art History,133
2014-33900,Jillana Claisse,29 10 2004,Art History,Sociology,67
2003-63753,Blane Cobello,23 08 2002,English Literature,Biology,93
2020-12530,Norbie Marrable,19 05 1991,Political Science,Sociology,178
2007-71403,Bernie Olivetti,10 07 1982,Music,Biology,105
2019-86122,Verina Berthon,11 06 1998,Criminal Justice,Psychology,150
2007-32827,Jeannine Makeswell,17 04 1994,History,Music,142
2011-92086,Emeline Coulbeck,13 05 2006,Engineering,Biology,126
2011-79987,Gabby Brugsma,29 04 1982,Communications,Business,47
2010-85261,Mallory Elsmore,17 02 1992,Art History,Engineering,17
2021-36789,Trumann McWaters,26 02 1988,Education,Music,107
2013-47444,Thorndike Ennor,20 05 1984,Music,Engineering,122
2015-34859,Pooh Tomes,23 08 1996,Biology,Psychology,11
2005-26522,Xenia Abyss,2 07 1991,Mathematics,Business,48
2008-57685,Mitchael Sommerfeld,17 07 1987,Nursing,Psychology,102
2016-33455,Crosby Gleeson,9 11 2005,Political Science,Business,106
2017-94446,Katleen Murfin,17 12 1984,History,Music,5
2006-62894,Candice Culligan,5 05 1983,Political Science,Computer Science,24
2010-11151,Abie Puttock,1 09 1985,Marketing,Art History,30
2009-42510,Ross Brabbs,15 04 2002,Political Science,Art History,175
2001-33926,Violante Huggins,16 11 1996,History,Psychology,64
2008-20163,Consolata Gobert,3 12 2003,Environmental Science,Biology,34
2000-27212,Killian Barbey,11 03 2000,Psychology,Art History,32
2000-30163,Francklyn Andreone,16 03 1983,Marketing,Engineering,20
2007-55274,Kacey MacCauley,14 11 2001,Political Science,Music,33
2015-40400,Gilberta Arendsen,10 08 2002,Biology,Computer Science,163
2017-15156,Mallory Crummy,15 07 1983,Computer Science,Biology,144
2004-76183,Jeannette Marchi,4 01 2006,Graphic Design,Mathematics,164
2017-85946,Marlyn Skone,3 06 1993,Political Science,Psychology,131
2008-36967,Tedda Kinahan,23 05 1992,Art History,Business,82
2006-49061,Gardiner Denison,7 12 1992,Mathematics,Engineering,162
2004-58883,Dinah McIvor,26 09 1987,Environmental Science,Mathematics,84
2015-38993,Rutger Ewen,24 05 2003,Environmental Science,Sociology,111
2004-20307,Conni Impett,29 09 2001,English Literature,Computer Science,91
2016-73033,Sauveur Lindores,2 03 1988,History,Art History,68
2008-58141,Morena Bushell,22 03 1993,Engineering,Mathematics,145
2024-42986,Kandace Tyres,15 10 1983,Marketing,Political Science,186
2012-73933,Ines Greatrakes,25 05 2004,Psychology,Psychology,114
2003-33752,Constantine Arnholz,4 08 2006,Music,Music,48
2007-99223,Alleyn Whitton,7 05 1996,History,Mathematics,37
2018-13324,Clint Bronot,15 03 2002,English Literature,Business,150
2003-97140,Georgette Tersay,10 11 1982,Mathematics,Mathematics,179
2003-99074,Faythe Coucha,15 07 1988,Political Science,Art History,43
2005-21151,Nicki Heathcoat,22 07 1988,Art History,Mathematics,136
2019-46230,Joellen Sharples,13 01 1991,Communications,Mathematics,71
2019-48265,Hatti Medeway,2 01 1989,English Literature,Political Science,55
2017-79230,Illa Imm,19 12 1990,Marketing,Biology,183
2016-76091,Jacky Mumm,19 12 1982,Mathematics,Computer Science,137
2016-42140,Othello McNeillie,18 09 2006,Graphic Design,Art History,158
2018-25905,Melinde McAlroy,6 01 2002,History,Business,21
2015-50430,Gabie Picot,4 02 1986,Mathematics,Political Science,125
2020-94455,Eliot Chitham,27 08 2001,Biology,Mathematics,120
2018-48482,Libby Kenvin,13 03 1992,Mathematics,Sociology,66
2015-14698,Moreen MacCostye,30 03 1995,Environmental Science,Psychology,151
2021-89035,Meryl Ivel,28 03 1992,Biology,Psychology,12
2008-25551,Tulley Stoneley,15 09 2003,Graphic Design,Business,103
2021-67886,Alyssa Callaby,14 07 1983,Psychology,Computer Science,70
2020-29469,Brandy Dyball,10 03 2000,Graphic Design,Computer Science,1
2012-70268,Muire Cathersides,1 02 2003,Computer Science,Psychology,2
2009-55504,Pepillo Learmouth,13 09 2003,Graphic Design,Psychology,43
2019-81561,Betti Dunster,3 03 1982,Business Administration,Business,125
2017-82853,Chilton Furness,12 06 2001,Business Administration,Business,118
2012-24507,Gerardo Porteous,5 08 1989,Business Administration,Biology,86
2009-45972,Patience Burriss,5 06 1984,Art History,Political Science,186
2019-81031,Reta Dilrew,13 11 1983,Communications,Political Science,17
2019-55838,Delmore Stebbings,24 02 1994,Mathematics,Art History,120
2020-13546,Mariya Pelman,16 03 1988,Art History,Business,117
2018-98816,Sunshine Papierz,11 09 1984,Criminal Justice,Mathematics,195
2007-59467,Suzie Gostling,29 08 1989,English Literature,Computer Science,53
2011-76765,Fiona Gentzsch,28 06 1988,Computer Science,Sociology,92
2010-90152,Amelia Knell,28 04 1982,Criminal Justice,Computer Science,104
2008-10499,Gerry Loreit,7 07 2006,Biology,Mathematics,53
2003-39407,Lila Rollings,22 10 1996,Biology,Political Science,152
2009-67047,Jerry Vergo,24 07 1986,Environmental Science,Mathematics,115
2001-99307,Hiram Weatherhead,26 02 1987,Sociology,Mathematics,50
2000-31968,Gustie Lasty,28 07 2006,Sociology,Music,46
2014-89187,Dewain Roderham,22 09 1998,Communications,Music,93
2002-27370,Roderic Dempsey,10 11 1992,Marketing,Biology,49
2020-86240,Lennard Crass,5 06 1987,History,Art History,161
2009-66720,Ryann Graben,6 05 1994,Criminal Justice,Psychology,82
2003-32939,Emerson Gotcher,12 03 1998,Marketing,Computer Science,167
2022-33646,Mab Sterndale,18 07 1994,Marketing,Sociology,150
2009-66677,Page Gallegos,23 11 1985,Biology,Psychology,134
2001-75199,Den Kerbler,6 12 1984,History,Psychology,79
2001-76267,Marilin Scough,23 11 1982,Marketing,Psychology,7
2010-78383,Britt Eyden,25 02 1993,History,Art History,188
2023-52510,Charisse Linford,4 12 1996,Psychology,Mathematics,166
2010-37203,Dennet Shallo,12 04 1991,Nursing,Computer Science,18
2008-59827,Neron MacCostye,2 02 1995,Communications,Political Science,64
2013-43607,Concettina O'Kennedy,9 10 1991,Communications,Engineering,126
2002-20600,Shandeigh Owthwaite,5 01 2004,Political Science,Business,3
2014-81307,Datha Daniels,12 05 1984,Art History,Political Science,167
2019-63326,Michaela Tschursch,25 06 1984,English Literature,Mathematics,123
2008-18296,Levon Warrilow,20 01 2003,Biology,Psychology,199
2021-35250,Elly Burchmore,20 03 1995,History,Art History,200
2012-25698,Codi Bouette,15 08 1995,Nursing,Engineering,159
2020-30238,Onfroi Pecey,15 09 1987,Graphic Design,Computer Science,151
2021-67214,Emory Aldrick,18 05 1987,Biology,Art History,129
2018-93460,Gray Scargle,18 01 2006,Political Science,Engineering,76
2003-45150,Alec Montez,19 12 1987,Sociology,Biology,191
2007-14612,Linnell Locker,14 01 2000,Marketing,Political Science,150
2017-14768,Rickard Raikes,9 06 2003,Mathematics,Psychology,187
2010-56359,Dulci Fasler,4 07 1993,History,Biology,55
2008-30903,Patty Bottrell,11 09 1996,Art History,Psychology,138
2016-18474,Cad Alves,4 09 2003,Art History,Music,18
2008-48768,Sayers Sieve,7 03 1991,Business Administration,Biology,14
2011-64989,Michele Yukhin,15 03 1996,Psychology,Computer Science,51
2024-68941,Byram Eames,5 07 1983,Nursing,Engineering,54
2010-70788,Gage Headech,12 01 1988,Computer Science,Sociology,96
2018-19447,Tracey Bradnum,22 01 1985,Music,Engineering,122
2002-29434,Sheelah Boobyer,16 02 1995,Art History,Mathematics,198
2005-23414,Florella Spini,5 11 1987,Business Administration,Political Science,198
2015-23808,Hilarius McCaughey,7 06 1999,Anthropology,Psychology,143
2001-43103,Joby Billin,16 08 1989,Mathematics,Computer Science,63
2018-60792,Carey Spring,6 06 1989,Education,Psychology,59
2005-41801,Myron Imason,24 05 1991,Engineering,Music,149
2015-37162,Misty Duerden,19 07 1999,Computer Science,Psychology,142
2014-47949,Michelle Dunkinson,2 08 1993,English Literature,Political Science,174
2018-27592,Maurita Viste,15 06 1990,History,Business,186
2008-19200,Blane Gayne,5 04 1992,Education,Computer Science,25
2018-86194,Poppy Yurenin,16 05 1989,Communications,Psychology,125
2005-81910,Rafaello Payne,16 08 1983,Sociology,Biology,31
2003-26861,Anthiathia Jahndel,16 07 2006,Graphic Design,Business,102
2023-73920,Lianne Gilfoy,27 01 2003,Anthropology,Art History,184
